,GAME_ID,TEAM_ABBREVIATION,TEAM_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS,SEASON
92,11700052,DAL,32212254840,39.0,89.0,5.75,11.0,33.0,2.683,10.0,16.0,3.75,7.0,41.0,48.0,24.0,9.0,6.0,11.0,18.0,99.0,15.0,2017
93,11700052,ORL,32212255060,36.0,87.0,4.867,17.0,42.0,3.237,7.0,12.0,1.5470000000000002,5.0,39.0,44.0,26.0,4.0,5.0,18.0,21.0,96.0,-15.0,2017
94,11700053,POR,28991029626,32.0,76.0,5.026,9.0,22.0,4.2829999999999995,24.0,33.0,5.875,10.0,38.0,48.0,16.0,10.0,1.0,17.0,20.0,97.0,70.0,2017
95,11700053,SAC,30601642402,32.0,82.0,3.9010000000000002,8.0,19.0,3.666,11.0,14.0,4.0,9.0,30.0,39.0,20.0,5.0,4.0,17.0,30.0,83.0,-70.0,2017
96,11700054,DET,30601642535,37.0,84.0,4.383,5.0,17.0,1.9,15.0,17.0,3.6,7.0,27.0,34.0,19.0,8.0,3.0,13.0,21.0,94.0,-110.0,2017
97,11700054,TOR,27380416937,41.0,79.0,6.475,13.0,37.0,3.096,21.0,25.0,7.417,6.0,38.0,44.0,30.0,4.0,8.0,14.0,18.0,116.0,110.0,2017
98,11700056,DEN,28991029374,29.0,85.0,4.413,11.0,33.0,3.917,17.0,26.0,4.8,11.0,35.0,46.0,20.0,9.0,9.0,16.0,14.0,86.0,-50.0,2017
99,11700056,OKC,32212255200,39.0,91.0,4.961,15.0,38.0,3.166,3.0,8.0,1.5,12.0,44.0,56.0,24.0,9.0,8.0,19.0,25.0,96.0,50.0,2017
100,11700057,ORL,32212255060,40.0,91.0,4.082,6.0,23.0,1.686,17.0,19.0,5.55,8.0,29.0,37.0,28.0,10.0,4.0,13.0,22.0,103.0,25.0,2017
101,11700057,SAS,30601642421,35.0,74.0,7.391,5.0,16.0,3.166,23.0,29.0,5.714,8.0,39.0,47.0,23.0,6.0,7.0,21.0,21.0,98.0,-25.0,2017
